author,top_flair,total_items,spike_items,spike_share,hebrew_items
Low-Efficiency7660,Unflaired/Unknown,55,54,0.982,0
Fixationated,Unflaired/Unknown,61,53,0.869,0
throwaway250805,Lebanese,54,53,0.981,0
Used_Shelter_7931,Unflaired/Unknown,53,53,1.0,0
kemicel,Unflaired/Unknown,98,52,0.531,5
kaiserfrnz,Unflaired/Unknown,81,52,0.642,0
GeneralGerbilovsky,Israeli,175,51,0.291,5
kartoshkiflitz,Israeli,112,51,0.455,1
GitmoGrrl1,Unflaired/Unknown,91,50,0.549,0
Dimahagever8112,Unflaired/Unknown,83,50,0.602,0
Ofekino12,Unflaired/Unknown,142,49,0.345,3
zorg-is-real,Israeli,103,49,0.476,19
randokomando,Unflaired/Unknown,80,49,0.613,0
michaelfri,Unflaired/Unknown,76,49,0.645,0
Mavvet,Israeli,69,49,0.71,1
waylandsmith,Diaspora Jew,72,48,0.667,0
Disastrous_Forces_69,Unflaired/Unknown,48,48,1.0,0
LLFauntelroy,Israeli,161,47,0.292,2
adecentdoughnut,Diaspora Jew,67,47,0.701,0
lucks1234,Unflaired/Unknown,63,47,0.746,1
murakamidiver,Unflaired/Unknown,108,46,0.426,0
Prudent-Repeat4786,Unflaired/Unknown,51,46,0.902,0
Worldly_Funtimes,Diaspora Israeli,60,45,0.75,1
IceRepresentative906,Unflaired/Unknown,50,45,0.9,1
seceagle,Israeli,88,44,0.5,2
GrazingGeese,Unflaired/Unknown,74,44,0.595,2
Lucky_Sparks,Israeli,59,44,0.746,0
Embarrassed-Monk-527,Unflaired/Unknown,56,44,0.786,0
miriam__bergman,Unflaired/Unknown,51,44,0.863,5
Emergency_Load1205,Israeli,44,44,1.0,0
Public_King7714,Unflaired/Unknown,44,44,1.0,0
muffinpercent,Israeli,150,43,0.287,1
purple_spikey_dragon,Unflaired/Unknown,101,43,0.426,1
Special_marshmallow,Unflaired/Unknown,53,43,0.811,1
FinePicture3727,Unflaired/Unknown,49,43,0.878,1
DresdenFilesBro,Israeli,51,42,0.824,14
ConnorStreetmann,Unflaired/Unknown,156,41,0.263,0
this__chemist,Lebanese,98,41,0.418,0
eplurbs,Israeli,68,41,0.603,0
EreshkigalKish2,Unflaired/Unknown,64,41,0.641,0
HitchSlap32,Unflaired/Unknown,46,41,0.891,0
SharingDNAResults,Diaspora Jew,46,41,0.891,0
its_oliviaaaaa,Israeli,41,41,1.0,0
astartre,Diaspora Lebanese,89,40,0.449,0
Do1stHarmacist,Diaspora Jew,76,40,0.526,1
rs_5,Unflaired/Unknown,76,40,0.526,2
maimonides24,Unflaired/Unknown,71,40,0.563,0
1AceHeart,Unflaired/Unknown,50,40,0.8,0
Correct-Praline-2312,Unflaired/Unknown,40,40,1.0,0
Tmuxmuxmux,Unflaired/Unknown,69,39,0.565,0
welltechnically7,Unflaired/Unknown,53,39,0.736,0
Confident-Mud-5218,Unflaired/Unknown,42,39,0.929,0
Hagrid1994,Israeli,99,38,0.384,3
makeyousaywhut,Unflaired/Unknown,55,38,0.691,0
naidav24,Israeli,53,38,0.717,2
SpiritMusic,Unflaired/Unknown,49,38,0.776,0
Able_Calligrapher958,Unflaired/Unknown,91,37,0.407,0
deshe,Israeli,81,37,0.457,4
theodd2out,Israeli,63,37,0.587,2
Omenforcer69,Unflaired/Unknown,62,37,0.597,0
Parigi7,Unflaired/Unknown,39,37,0.949,0
De_Real_Snowy,Diaspora Israeli,38,37,0.974,0
Bombastic-side-eye0,Unflaired/Unknown,37,37,1.0,0
Square-Sushi,Lebanese,37,37,1.0,0
ArpanMaster,Unflaired/Unknown,67,36,0.537,3
OkBuyer1271,Unflaired/Unknown,40,36,0.9,0
Playful-Leather6064,Unflaired/Unknown,36,36,1.0,0
Weekly-Space3770,Unflaired/Unknown,36,36,1.0,0
NitzMitzTrix,Israeli,85,35,0.412,1
GuavaFuture,Diaspora Lebanese,76,35,0.461,0
shwel_batata0,Unflaired/Unknown,35,35,1.0,0
Fearless-Ad4531,Unflaired/Unknown,148,34,0.23,0
RoundLifeItIs,Unflaired/Unknown,98,34,0.347,0
Alon_F,Israeli,40,34,0.85,1
Special-Key-6578,Unflaired/Unknown,38,34,0.895,0
Boochus,Unflaired/Unknown,34,34,1.0,0
Shternio,Israeli,127,33,0.26,1
hindamalka,Israeli,112,33,0.295,10
davidds0,Unflaired/Unknown,72,33,0.458,0
Boborbot,Unflaired/Unknown,52,33,0.635,0
yaSuissa,Israeli,46,33,0.717,2
Mightyjish,Unflaired/Unknown,40,33,0.825,0
SockPuzzled,Diaspora Lebanese,33,33,1.0,0
Worknonaffiliated,Unflaired/Unknown,33,33,1.0,0
Cocky-Bastard,Israeli,112,32,0.286,1
EnvironmentWaste8867,Unflaired/Unknown,44,32,0.727,0
